"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",21.825140625,1.61190221716098,583.826484375,61.3529618415436,96.9915515625,6.39692416926284,38.49980625,3.83639750365775,19.458225,2.56731577792281,2.028640625,0.429329982506426,-0.01,0.51,2.56,64,191.15,191,74.67,222.25,86.82,6.04,0.67,1.23,30.84,150.92,16.63,"sample_00001-1011","22.09.22",0,0,"autotrophic"
"sample_00001",32.726016,8.96302923392137,588.521699999999,64.8650123469825,89.4267216,8.3307139833675,33.5546064,3.7133755801634,22.4704044,2.54002437162088,1.521488,0.295396579140216,0,0.66,5,125,223.49,223,44.7,396.3,79.26,11.2,0.35,1.49,37.2,279.92,8.73,"sample_00001-106","22.09.22",0,0,"autotrophic"
"sample_00001",28.0851382113821,3.87356233155977,883.868048780488,250.190053530937,114.227879268293,23.2941426109989,44.7903987804878,10.3797351056144,25.0185292682927,2.87864663325969,1.80787804878049,0.417654959666309,0.02,0.44,5,123,357.17,357,71.43,588.01,117.6,32.97,0.99,3.29,53.35,452.53,24.68,"sample_00001-114","22.09.22",0,0,"autotrophic"
"sample_00001",30.8915918367347,5.31585184032299,708.654948979591,126.300119464275,96.8793887755102,9.32328837012046,36.4518183673469,4.18046394187812,24.692106122449,3.45833903335824,1.50422448979592,0.260524492235225,0.09,0.52,1.96,49,46.07,10,4.89,168.27,85.85,6.51,0.64,1.33,33.29,162.79,15.94,"sample_00001-1164","22.09.22",0,0,"autotrophic"
"sample_00001",29.1260416666667,2.36950081786998,653.36625,66.5054453317666,97.175446875,4.69809726779925,38.107884375,3.68801393878551,22.107346875,3.66501092838065,1.78889583333333,0.416589712929208,0.03,0.39,1.92,48,100.94,93,48.23,172.41,89.8,6.15,1.53,1.24,31.06,153.77,38.27,"sample_00001-1171","22.09.22",0,0,"autotrophic"
"sample_00001",19.5040454545455,1.95383133397097,367.565113636364,112.994844634347,72.4077409090909,11.2435644706995,28.3974034090909,5.0427926246208,16.2286261363636,2.94727594407479,1.78070454545455,0.34563763653979,0.04,0.61,1.88,44,92.05,92,48.97,174.89,93.03,12.97,0.81,1.96,35.13,162.41,20.2,"sample_00001-1175","22.09.22",0,0,"autotrophic"
"sample_00001",25.4633833333333,3.9005626195294,692.1855,150.052070626573,102.82194,9.05235115976666,40.716675,4.99954712418103,21.87243,5.43282701732592,1.98911666666667,0.580395017198374,0.04,0.67,2.4,60,150.93,151,62.89,192.53,80.22,5.7,0.63,1.1,27.49,142.52,15.69,"sample_00001-120","22.09.22",0,0,"autotrophic"
"sample_00001",37.5336590909091,6.50717851172102,451.06875,96.7155742903891,78.9311863636364,8.6556321351608,30.5990386363636,4.50061129247065,18.6947079545455,2.75844344951631,1.6655,0.323731980732267,-0.01,0.7,1.76,44,77.65,77,43.87,152.42,86.6,8.34,0.52,1.78,44.6,208.43,13.07,"sample_00001-1203","22.09.22",0,0,"autotrophic"
"sample_00001",27.0487209302325,3.54452389391742,521.446918604651,88.1529025445838,88.6490372093023,8.81532135652584,36.6576802325581,4.66456456079261,18.1630255813953,2.89536810889335,2.06232558139535,0.392931335388273,-0.05,0.47,1.72,43,72.91,23,13.38,151.06,87.83,6.52,0.5,1.42,35.47,162.98,12.59,"sample_00001-1205","22.09.22",0,0,"autotrophic"
"sample_00001",22.8076904761905,1.30626664980581,499.104642857143,100.991203052923,84.1487785714286,7.45254849272924,31.7052321428571,2.76232814198506,19.8467357142857,3.0034212136935,1.6215,0.179469305752591,-0.08,0.71,1.68,42,66.31,31,18.33,147.38,87.73,7.12,0.62,1.79,44.66,178.03,15.46,"sample_00001-1211","22.09.22",0,0,"autotrophic"
