"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","date","time_point","day","trophic_type"
"sample_00001",62.812632,4.46772004085796,372.0087,38.3316645229607,69.6041424,3.96940828832175,27.3974724,1.98308650893337,17.3223036,1.66856902031999,1.599456,0.215585044367272,0.04,0.63,5,125,279.91,280,55.98,443.92,88.78,6.67,0.69,1.16,29.05,166.63,17.13,"sample_00001-1","22.09.22",0,0,"autotrophic"
"sample_00001",58.1029230769231,5.58836315382822,215.755961538462,30.5371353772339,52.4140096153846,4.95658861597803,20.2981326923077,2.01388067560541,13.5382932692308,1.37878335285877,1.51588461538462,0.225842097696612,0.15,0.9,2.36,52,135.48,123,52.26,278.85,118.16,118.18,0.48,16.35,133.46,984.86,11.88,"sample_00001-201","22.09.22",0,0,"autotrophic"
"sample_00001",63.5258222222222,6.12716382430221,287.40825,97.278936548413,66.237075,12.6367937162937,26.8209,4.49193726574426,13.45572,2.95239571111136,2.05033333333333,0.424168399884614,0.03,0.91,3.88,90,80.8,62,15.93,306.05,78.88,12.83,0.13,2.13,42.58,320.71,3.14,"sample_00001-286","22.09.22",0,0,"autotrophic"
"sample_00001",62.6129761904762,5.94330275466139,298.369285714286,68.5676080312249,62.8948607142857,8.02466111999735,25.0128964285714,3.56471131556829,15.11055,2.39583565191263,1.68557142857143,0.310274555275756,0.16,0.68,1.68,42,38.92,28,16.79,143.67,85.52,6.72,0.29,1.43,35.72,168.12,7.15,"sample_00001-322","22.09.22",0,0,"autotrophic"
"sample_00001",57.3547333333333,4.03482091157783,215.4195,31.8677935017851,51.017985,4.36584966727752,20.08611,1.99105943179279,13.698855,1.84180230594879,1.4979,0.28866462463773,-0.01,0.71,1.4,30,47.29,43,30.93,96.48,68.91,9.15,0.65,2.06,41.16,152.39,16.17,"sample_00001-348","22.09.22",0,0,"autotrophic"
"sample_00001",60.42205,5.77733600882133,233.0521875,40.841664979202,53.51950125,4.88151541457676,20.8599975,2.00173170915982,14.19886125,1.8777301703116,1.491125,0.218491988296093,0.04,0.6,5,120,212.82,213,42.56,438.91,87.78,9.56,0.53,1.81,38.19,195.54,13.23,"sample_00001-36","22.09.22",0,0,"autotrophic"
"sample_00001",55.5532,2.09866523056918,186.9885,22.2090899886736,48.721986,3.13445892677668,19.13787,1.71920989392657,12.454884,1.05645792901327,1.55028,0.221798429510521,-0.12,0.81,1.32,25,80.85,81,61.25,99.21,75.16,12.65,1.23,2.45,32.36,139.85,30.84,"sample_00001-366","22.09.22",0,0,"autotrophic"
"sample_00001",71.3769090909091,6.35233056963836,421.246022727273,188.043978496866,78.2749022727273,21.6266442346976,30.4496488636364,7.00174925658107,17.0199409090909,5.10632080562076,1.88043181818182,0.530379127133547,-0.04,0.81,1.88,44,198.98,199,105.84,346.33,184.22,203.82,0.67,30.66,253.41,1698.48,16.67,"sample_00001-400","22.09.22",0,0,"autotrophic"
"sample_00001",50.8799863013699,2.75822660162664,379.504417808219,106.522106749283,67.7299253424658,9.8582339442409,23.5013732876712,3.35599489666835,20.1888061643836,3.12918355899729,1.17090410958904,0.113209634010877,-0.19,0.84,3,73,37,19,6.39,234.93,78.31,9.01,0.72,1.26,25.74,137.43,17.9,"sample_00001-434","22.09.22",0,0,"autotrophic"
"sample_00001",52.2235185185185,4.20698492775244,233.8875,49.7497050967294,56.5347,7.0823843867943,22.38735,3.00646332075388,13.3827,2.70051524410692,1.74211111111111,0.43504352862084,-0.05,0.46,1.16,27,80.3,80,69.22,103.81,89.49,11.43,1.13,2.22,35.94,164.22,28.3,"sample_00001-450","22.09.22",0,0,"autotrophic"
"sample_00001",94.0376551724138,9.96722483996898,385.45875,117.23709854741,71.207414224138,14.3470955215057,27.5070064655172,6.28418874637849,17.5698077586207,2.63045004195929,1.57478448275862,0.330593190335572,-0.37,0.75,5,116,40.41,35,6.93,438.54,87.71,25.38,0.66,3.63,39.01,275.2,16.57,"sample_00001-47","22.09.22",0,0,"autotrophic"
"sample_00001",58.27075,4.2832042707997,237.323671875,37.9890090594529,53.82633515625,5.31099799296181,21.0272203125,2.32311210663146,14.36148984375,1.63502866253649,1.482296875,0.228386867529463,0,0.78,2.8,64,116.64,110,39.44,244.71,87.4,14.07,0.66,2.37,32.29,160.09,16.57,"sample_00001-471","22.09.22",0,0,"autotrophic"
"sample_00001",57.0976136363636,4.35240764280094,208.386306818182,32.3400598225806,50.7879204545454,4.54558389003174,19.5444715909091,2.05109388334665,13.5965863636364,1.747158239308,1.46181818181818,0.24625041827161,-0.28,0.75,1.88,44,59.81,60,31.81,134.95,71.78,5.73,0.81,1.39,30.84,143.19,16.91,"sample_00001-53","22.09.22",0,0,"autotrophic"
"sample_00001",56.3085483870968,5.35531578177988,258.736209677419,53.1855419062634,60.8221161290323,7.76266613645496,24.7131,3.78229382187582,13.347885483871,2.03408152762672,1.89258064516129,0.405989554397117,-0.25,0.76,1.36,31,35.27,26,19.43,100.06,73.57,11.74,1.1,1.97,26.11,146.07,27.51,"sample_00001-535","22.09.22",0,0,"autotrophic"
