"file","mean_grey","sd_grey","mean_area","sd_area","mean_perimeter","sd_perimeter","mean_major","sd_major","mean_minor","sd_minor","mean_ar","sd_ar","mean_turning","sd_turning","duration","N_frames","max_net","net_disp","net_speed","gross_disp","gross_speed","max_step","min_step","sd_step","sd_gross_speed","max_gross_speed","min_gross_speed","id","culture_ID","date","time_point","day"
"sample_00001",56.3185961538462,5.01439784016013,270.64125,46.2240597537836,63.7057211538462,7.21376110048621,27.0633850961539,3.42692959191684,12.7229192307692,1.49275596394019,2.15321153846154,0.355258709863013,-0.01,0.74,4.2,104,255.39,233,55.46,350.24,83.39,7.36,0.63,1.51,37,184.07,15.7,"sample_00001-109",1,"05.10.22",2,12
"sample_00001",55.733512,7.78715945314112,458.6139,65.7883332428094,81.786834,7.66143164143064,33.34932,4.5593071453285,17.6439384,2.44217532596401,1.936976,0.427748446274586,0,0.38,5,125,347.22,347,69.44,497.64,99.53,8.12,1.44,1.27,31.84,203.02,35.9,"sample_00001-12",1,"05.10.22",2,12
"sample_00001",52.2717,3.61077578014514,301.806,53.7317322108576,63.51507,6.85700399019009,25.73019,3.46636056955597,14.952195,1.99795769881828,1.75166666666667,0.341194689425193,-0.01,0.55,1.2,30,32.94,33,27.45,90.05,75.04,5.58,1.12,1.14,28.5,139.39,27.94,"sample_00001-130",1,"05.10.22",2,12
"sample_00001",54.0471666666667,4.26376316348431,296.611875,67.273106742949,64.231875,9.43435102599992,26.7973875,3.98029643062235,13.9919625,1.9579884229329,1.93541666666667,0.305299981283047,0,0.23,1.56,36,164.11,164,105.2,172.96,110.87,11.83,2.23,1.88,29.16,202.57,55.7,"sample_00001-140",1,"05.10.22",2,12
"sample_00001",55.7477236842105,3.44078240559202,261.360888157895,43.958334925821,62.834897368421,5.13723185391961,26.5901151315789,1.80066327185327,12.4689907894737,1.58933350994918,2.15959210526316,0.257176161551135,0,0.22,3.04,76,376.81,377,123.95,388.44,127.78,8.15,1.73,1.25,31.28,203.69,43.18,"sample_00001-15",1,"05.10.22",2,12
"sample_00001",63.434344,3.58517575963632,525.40488,28.8597404900813,93.7625868,4.40813250608639,40.3143804,2.55726441369843,16.6354236,1.0746134657772,2.438688,0.268443615032306,-0.01,0.37,5,125,345.47,345,69.09,422.05,84.41,6.52,1,1.13,28.13,162.88,24.98,"sample_00001-17",1,"05.10.22",2,12
"sample_00001",52.280350877193,3.28183449619279,237.692368421053,42.1755732464351,60.7269789473684,6.30312633386166,26.3581105263158,3.11307155537824,11.4820342105263,1.54926866428042,2.33347368421053,0.376545060159906,0.06,0.38,2.56,57,292.36,278,108.78,330.07,128.93,21.4,0.25,3.47,46.23,217.08,6.23,"sample_00001-177",1,"05.10.22",2,12
"sample_00001",56.4555660377359,2.72928110786475,302.363066037736,83.6063149423005,67.068229245283,10.8953497318829,27.3599660377358,4.47210070171998,13.9165641509434,2.39733252728578,2.00288679245283,0.402156621822956,-0.01,0.67,2.16,53,200.71,195,90.22,219.11,101.44,15.11,0.14,2.38,47.91,199.21,3.54,"sample_00001-19",1,"05.10.22",2,12
"sample_00001",51.89472,2.98202975689721,236.196,38.2166684604282,60.971049,7.22468762041661,26.35092,3.47593406905956,11.458341,1.52356573097488,2.35132,0.500182882472369,0,0.73,2.04,50,99.36,99,48.71,158.19,77.54,8.18,0.65,1.59,35.54,163.99,16.32,"sample_00001-190",1,"05.10.22",2,12
"sample_00001",48.2887738095238,2.20819477789825,283.919464285714,68.319560736495,70.3615660714286,8.22435866867281,30.0522535714286,3.30488204043532,11.9205482142857,2.04287408164591,2.56830952380952,0.365196529899139,0.01,0.32,3.52,84,360.97,361,102.55,371.78,105.62,15.86,0.37,2.18,39.5,213.53,9.31,"sample_00001-194",1,"05.10.22",2,12
"sample_00001",49.7334556962025,3.97661669041651,464.875917721519,130.95387494706,78.3575544303797,12.641014737499,29.4477550632911,5.43770589436058,19.8252626582278,3.44291067892312,1.5073164556962,0.285140340808711,0.01,0.42,3.24,79,297.92,298,91.95,324.34,100.1,12.33,1.18,1.56,30.68,212,29.52,"sample_00001-2",1,"05.10.22",2,12
